what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1293093734420
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293093736032
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293093736298
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293093748022
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293093749562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293093752996
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1293093754092
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293093754328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093758853
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093761604
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093763261
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093763475
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093766165
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093766370
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093766427
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093767238
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093767474
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093769118
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093769306
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1293093772852
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1293093772995
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293093773757
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293093774041
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093780075
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093784116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093784596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093790535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093792304
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093797346
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093797362
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093797535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093800674
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093805443
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093805459
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093805719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093810238
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093884156
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093884174
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093884390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093887000
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093894182
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093894198
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093894402
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093895849
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093947369
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093947401
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093948117
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293093950646
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293093950851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293093952332
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094071411
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293094071429
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293094071611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1293094075488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094077880
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094110575
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094113464
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094192541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094202338
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094210190
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293094213466
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293094216695
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293094216756
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293094217809
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293094218029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094222369
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094223335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094227699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094229266
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094231440
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293094233996
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293094234282
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1293094238523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293094242944
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094244212
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1293094245307
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1293094245557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094246445
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094256837
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094263236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094263731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094267985
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094270196
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094270731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094273902
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094276620
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094277197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094281009
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094283077
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094283649
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094433869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094439116
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094441415
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293094443477
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293094444005
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095020122
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095021153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095080149
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1293095084772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095085648
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095096673
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095104234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095139592
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095141557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095262658
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1293095280872
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1293095285040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095287423
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095368931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095372100
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095438172
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1293095439971
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1293095440149
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1293095440244
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1293095440281
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1293095440282
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1293095440283
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.3.8,1.3.8.v201010161055,"com.google.appengine.eclipse.sdkbundle.1.3.8",1293095440283
stopped,bundle,com.google.gdt.eclipse.maven,1.4.0.v201010280102,"com.google.gdt.eclipse.maven",1293095440283
stopped,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280102,"com.google.gdt.eclipse.suite",1293095440283
stopped,bundle,com.google.appengine.eclipse.sdkbundle.1.4.0,1.4.0.v201012021502,"com.google.appengine.eclipse.sdkbundle.1.4.0",1293095440283
stopped,bundle,com.google.appengine.eclipse.core,1.4.0.v201010280102,"com.google.appengine.eclipse.core",1293095440283
stopped,bundle,com.google.gwt.eclipse.oophm,1.4.0.v201010280102,"com.google.gwt.eclipse.oophm",1293095440284
stopped,bundle,com.google.gwt.eclipse.sdkbundle.2.1.0,2.1.0.v201010280102,"com.google.gwt.eclipse.sdkbundle.2.1.0",1293095440284
stopped,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280102,"com.google.gwt.eclipse.core",1293095440349
stopped,bundle,com.google.gdt.eclipse.core,1.4.0.v201010280102,"com.google.gdt.eclipse.core",1293095440349
